Test,R,Score,MaxScore,Energy,DefaultEnergy
A152,120,5991,6000,76802831606,52568075699696
A153,120,5995,6000,10241402558,12712480544188
A154,120,5995,6000,19771676578,29163445235880
A155,120,5966,6000,39432376976,7152793112484
A156,120,5976,6000,44508701268,11291959881104
A157,130,6994,7000,45802212694,63152888227964
A158,130,6987,7000,71061968644,39171724193900
A159,140,6985,7000,36456916698,17013425114676
A160,140,6990,7000,59790123772,43157029944216
A161,140,6982,7000,95638379708,38096571266940
A162,140,6988,7000,193943406900,113682404131060
A163,140,6994,7000,162541223438,209106622524412
A164,150,6990,7000,410385354224,301604296762512
A165,150,6991,7000,268800552776,216141178136592
A166,160,6992,7000,62282286968,61001109736364
A167,160,6995,7000,93451682680,137102307663380
A168,160,6986,7000,92239917986,46198244244012
A169,160,6968,7000,641719411560,143933083450968
A170,160,6984,7000,358691587038,159248112628116
A171,160,6987,7000,99340910892,56817781088216
A172,160,6993,7000,74421650742,86677504117104
A173,180,6995,7000,654314840136,1026356292625844
A174,180,6995,7000,157210227482,251868985569048
A175,180,6994,7000,318102704564,398454869586368
A176,180,6972,7000,1247083732316,313068077236736
A177,180,6992,7000,160593186500,146023246474456
A178,180,6995,7000,610624972088,982122567357920
A179,180,6993,7000,746350541766,761317053608732
A180,180,6992,7000,790214794532,751443710418548
A181,200,6994,7000,1457761471698,1790478455250280
A182,200,6988,7000,1198865028722,736259157641300
A183,200,6989,7000,860496769490,550948183601692
A184,200,6994,7000,1217751337782,1503745149502116
A185,200,6969,7000,2094056067706,484180415428284
A186,220,6994,7000,1272103840726,1582339515307896
D001,20,3995,4000,382523,335111596
D002,20,3990,4000,389864,165900524
D003,20,3987,4000,430304,142857656
D004,20,3998,4000,438021,1097420796
D005,20,3997,4000,427754,705456764
D006,20,3997,4000,383838,758267120
D007,20,3998,4000,420902,1528722760
D008,20,3998,4000,368810,1185010668
D009,20,3994,4000,383488,288308524
D010,20,3994,4000,381666,257585792
D011,20,3992,4000,388323,204782296
D012,20,3996,4000,436258,519447372
D013,20,3996,4000,387158,446480992
D014,20,3996,4000,435353,501685492
D015,20,3995,4000,389123,337272816
D016,20,3996,4000,434653,568650384
D017,20,3996,4000,434783,510805796
D018,20,3996,4000,434768,511045804
D019,30,3999,4000,1359864,35589791324
D020,30,3999,4000,1623504,21353090716
D021,30,3999,4000,1498464,28105317404
D022,30,3999,4000,1567944,24353360348
D023,30,3999,4000,1547872,26222870180
D024,30,3999,4000,1583872,24278850980
D025,30,3999,4000,1409632,33687903908
D026,30,3999,4000,1480972,29835505860
D027,30,3999,4000,1432772,12194986408
D028,30,3999,4000,1471772,10088965608
D029,30,3999,4000,1567344,24385760668
D030,30,3999,4000,1645344,20173719068
D031,30,3999,4000,1576736,23136717720
D032,30,3999,4000,1646096,19391240728
D033,30,3999,4000,1625559,21242119620
D034,30,3999,4000,1648794,19987417228
D035,30,3999,4000,1579314,23739374284
D036,30,3999,4000,1641090,20398901292
D037,30,3999,4000,1653165,19746844852
D038,30,3999,4000,1597477,23544173724
D039,30,3999,4000,1621312,22257071012
D040,30,3999,4000,1562297,22491930912
D041,30,3999,4000,1507052,25475190376
D042,40,4998,5000,37954236,114258767492
D043,40,4997,5000,20504203,46004019360
D044,40,4998,5000,37224032,116040432940
D045,40,4998,5000,38928143,102310490648
D046,40,4998,5000,38849723,112348292472
D047,40,4979,5000,77013667,18693701080
D048,40,4996,5000,18447306,30676544508
D049,40,4997,5000,52988917,92138274740
D050,40,4999,5000,40497322,207836258824
D051,40,4997,5000,18436942,39001741700
D052,40,4997,5000,34298489,77745762668
D053,40,4998,5000,21024399,74775470952
D054,40,4983,5000,4992111,1547918452
D055,40,4994,5000,44545769,40919830672
D056,40,4998,5000,15729531,40610702748
D057,50,4998,5000,85566795,380012803296
D058,50,4998,5000,97525088,417059217112
D059,50,4998,5000,90761674,345298778424
D060,50,4998,5000,100177794,478739505888
D061,60,4996,5000,259954753,384072117000
D062,60,4994,5000,490532593,470593276552
D063,60,4996,5000,230525156,334324797020
D064,60,4996,5000,407649353,591860405964
D065,60,4999,5000,204645405,1158952160536
D066,60,4996,5000,337654766,503783967380
D067,60,4999,5000,113380975,778374741668
D068,60,4997,5000,185870820,405656914336
D069,60,4998,5000,201421801,821654717480
D070,60,4999,5000,65855973,424001740852
D071,60,4995,5000,307189979,320010601532
D072,60,4999,5000,86212248,445677609644
D073,60,4998,5000,233241990,648644725896
D074,60,4999,5000,110958789,899155449108
D075,60,4999,5000,166894428,1362289112908
D076,60,4998,5000,205048952,990588610516
D077,60,4998,5000,89946832,278130110104
D078,70,5994,6000,829237700,918746345184
D079,70,5993,6000,1185362960,1184856640316
D080,70,5988,6000,1646404691,864476881212
D081,70,5998,6000,475994352,1442487507248
D082,70,5998,6000,539914899,1708618441448
D083,70,5996,6000,650480252,1058834905424
D084,70,5998,6000,373665742,1936059202328
D085,80,5999,6000,928942279,5867530192980
D086,80,5997,6000,281066893,613236469896
D087,80,5986,6000,532965289,232523018000
D088,80,5912,6000,2592779958,178686151740
D089,80,5999,6000,237787695,1879915616560
D090,80,5999,6000,1068291117,11237422289744
D091,80,5999,6000,214669997,1676011298484
D092,80,5999,6000,217570536,2061148301896
D093,80,5996,6000,1450182372,2203167629704
D094,80,5992,6000,4837278663,3845814581352
D095,80,5997,6000,351674785,708069211032
D096,80,5998,6000,1531554679,6432687203480
D097,80,5997,6000,1184402272,3026940925136
D098,80,5999,6000,399295004,3257740360432
D099,80,5998,6000,1121918973,6130525358140
D100,80,5995,6000,1731100299,2351760357932
D101,80,5992,6000,1147448456,904969370836
D102,80,5999,6000,239693915,1649623130212
D103,80,5999,6000,851156400,6977507327376
D104,85,5999,6000,1268859254,12743558723240
D105,85,5999,6000,1265687639,16639096538518
D106,90,5999,6000,1627304888,15362096660364
D107,90,5999,6000,1032503747,7294815152444
D108,90,5999,6000,1326215186,13853326749740
D109,90,5999,6000,1476586958,11593236603840
D110,90,5999,6000,979084267,8521044528600
D111,90,5998,6000,1714523803,8884809137884
D112,100,5998,6000,1181584572,5278929142616
D113,100,5999,6000,327084759,2095447435740
D114,100,5956,6000,7605095292,1053096674668
D115,100,5999,6000,3643720846,43643520816432
D116,100,5999,6000,2864657025,25678792762188
D117,100,5998,6000,5414745601,23246931420132
D118,100,5999,6000,359745808,2915887691540
D119,100,5995,6000,6116641221,7578670630376
D120,100,5999,6000,1901722460,16721716908384
D121,100,5998,6000,872704112,4085198449340
D122,100,5993,6000,8063927162,7628320898920
D123,100,5999,6000,3050399870,37889307950996
D124,100,5995,6000,213004178,289896196580
D125,100,5999,6000,2409500622,17102808280340
D126,100,5997,6000,3476857772,9894762416916
D127,100,5995,6000,5118212770,6826510646912
D128,100,5998,6000,2777789286,11305843339176
D129,100,5995,6000,6048054676,8900411966200
D130,100,5998,6000,4728209109,14766526193436
D131,100,5998,6000,4173535557,15193366691812
D132,100,5995,6000,6174122499,9015942164280
D133,100,5998,6000,2286111221,8967552060852
D134,100,5998,6000,1344214613,7205381127316
D135,100,5997,6000,2097129030,5196879502292
D136,100,5996,6000,9126341393,16601927690344
D137,120,5998,6000,22733064567,72616578991876
D138,120,5997,6000,36880958624,79266513515712
D139,120,5998,6000,7516287902,43669420604304
D140,120,5993,6000,14427355907,12952135891576
D141,120,5998,6000,6863882634,22001070639172
D142,120,5983,6000,9994674666,3550999732392
D143,120,5998,6000,6914040555,21654933260224
D144,120,5999,6000,7431726770,82704845951344
D145,120,5997,6000,18814106680,56172665255556
D146,120,5998,6000,6755020210,27317005366120
D147,120,5997,6000,9948711234,25033556357960
D148,120,5996,6000,27248464759,46597035998484
D149,120,5999,6000,5287697686,39770066371280
D150,120,5995,6000,22887398476,27579937692376
D151,120,5998,6000,4697196008,27547952684444
D152,120,5998,6000,8765366853,52568070749240
D153,120,5999,6000,1098452842,12712478669308
D154,120,5999,6000,2462036918,29163442712544
D155,120,5991,6000,9740739231,7152792659052
D156,120,5996,6000,7350846006,11291958918800
D157,130,6999,7000,4284221012,63152885621012
D158,130,6999,7000,3025473455,39171722209580
D159,140,6997,7000,5465968865,17013424097532
D160,140,6999,7000,6099797498,43157027384664
D161,140,6998,7000,9351014152,38096568623076
D162,140,6998,7000,20021210079,113682400854004
D163,140,6999,7000,14621604621,209106615956332
D164,150,6999,7000,32646216261,301604291413584
D165,150,6999,7000,18337988141,216141172922448
D166,160,6999,7000,5773941931,61001105898980
D167,160,6999,7000,6827590289,137102296956884
D168,160,6998,7000,11820589130,46198242235668
D169,160,6997,7000,59705879090,143933076957360
D170,160,6998,7000,33495252735,159248104898028
D171,160,6997,7000,18161885858,56817780080864
D172,160,6999,7000,9252547112,86677501758768
D173,180,6999,7000,80452136574,1026356285673812
D174,180,6999,7000,17950385483,251868980514048
D175,180,6999,7000,35162689148,398454855926960
D176,180,6996,7000,172982936665,313068070904144
D177,180,6999,7000,17791448316,146023240520008
D178,180,6999,7000,44945300008,982122518611904
D179,180,6999,7000,65930061128,761317046489372
D180,180,6999,7000,65438842675,751443701448020
D181,200,6999,7000,127636363295,1790478447754912
D182,200,6998,7000,125448745209,736259152479260
D183,200,6998,7000,89853000645,550948171366300
D184,200,6999,7000,134787541676,1503745140721020
D185,200,6997,7000,169536746888,484180408120164
D186,220,6999,7000,122530149649,1582339489667928
R001,20,3967,4000,13373160,1662420604
R002,20,3989,4000,3961323,1542440144
